#{"t_start": 1727545860.1016, "env_id": "BipedalWalker-v3"}
r,l,t
-50.43835,1600,217.316507
-48.584784,1600,218.057284
-52.612968,1600,218.552052
-20.938293,1600,219.294301
-46.344651,1600,220.038694
-43.909032,1600,220.772106
-43.176401,1600,221.27619
-30.219692,1600,222.033943
-48.572715,1600,222.78717
-30.043939,1600,223.643472
-52.660132,1600,224.414748
-66.79978,1600,224.904176
-16.965831,1600,225.712865
-21.92073,1600,226.512557
-35.385696,1600,227.281948
-16.168426,1600,227.831085
-44.701992,1600,228.64663
-13.821556,1600,229.470892
-37.536589,1600,230.259543
-18.965586,1600,231.058902
-30.168258,1600,231.612443
-35.51251,1600,232.455467
-35.098706,1600,233.27906
-13.661689,1600,234.111164
-15.001225,1600,234.651145
-34.390369,1600,235.500288
-26.712061,1600,236.346855
-31.918964,1600,237.196439
-26.676911,1600,238.016041
-35.414491,1600,238.550912
-11.214161,1600,239.443646
-23.551916,1600,240.323369
-24.058762,1600,241.189225
-44.166903,1600,242.035674
-20.471347,1600,242.647425
-34.187048,1600,243.545195
-43.016342,1600,244.427782
-41.073738,1600,245.264371
-41.113435,1600,245.870264
-21.134711,1600,246.782609
-21.365128,1600,247.695369
-71.889452,1600,248.559556
-28.196639,1600,249.460147
-42.260131,1600,250.094116
-37.946672,1600,251.058674
-44.520693,1600,251.987103
-35.081664,1600,252.927242
-50.135347,1600,253.548147
-52.587788,1600,254.512706
-36.061397,1600,255.526573
-58.130165,1600,256.505409
-33.863518,1600,257.464893
-33.618594,1600,258.157096
-45.842154,1600,259.175748
-34.429993,1600,260.243446
-45.993608,1600,261.272267
-25.152419,1600,261.967876
-52.779555,1600,263.075135
-23.614946,1600,264.199481
-51.542002,1600,265.31033
-55.074984,1600,266.398832
-48.944316,1600,267.165818
-52.814145,1600,268.330715
-35.712572,1600,269.521304
-35.000475,1600,270.707646
-50.994963,1600,272.005275
-34.449893,1600,272.910221
-46.57314,1600,274.136861
-37.007299,1600,275.335692
-51.13625,1600,276.494925
-52.268726,1600,277.296072
-38.254422,1600,278.583885
-39.311027,1600,279.919753
-52.909008,1600,281.28178
-51.887329,1600,282.627424
-43.20449,1600,283.537862
-45.685834,1600,284.924979
-37.102532,1600,286.292196
-34.152506,1600,287.729667
-39.429808,1600,288.661679
-39.033424,1600,290.045115
-44.854291,1600,291.434252
-46.39481,1600,292.803104
-39.014117,1600,294.158583
-41.838455,1600,295.093349
-48.993821,1600,296.443086
-49.040912,1600,297.804026
-37.840606,1600,299.15546
-37.597922,1600,300.058071
-37.621744,1600,301.372576
-35.94133,1600,302.648293
-36.041794,1600,303.927611
-38.110937,1600,305.171147
-35.207747,1600,305.997975
-35.167695,1600,307.264676
-54.086053,1600,308.458659
-35.713378,1600,309.63259
-38.093191,1600,310.770321
-34.360831,1600,311.580572
-37.960097,1600,312.770626
-36.123001,1600,313.919574
-43.261902,1600,315.033031
-35.948337,1600,315.778173
-36.528875,1600,316.940308
-45.115299,1600,318.082894
-38.884031,1600,319.176958
-31.017575,1600,320.345661
-32.118807,1600,321.138382
-27.010032,1600,322.26911
-31.853007,1600,323.375797
-29.618423,1600,324.43855
-33.169536,1600,325.167703
-32.272312,1600,326.307218
-27.051275,1600,327.432741
-35.331677,1600,328.520737
-30.014871,1600,329.562333
-30.242123,1600,330.302395
-35.857632,1600,331.401618
-33.670235,1600,332.464899
-21.299277,1600,333.528012
-26.938968,1600,334.228672
-33.743604,1600,335.330927
-27.466676,1600,336.527113
-31.657958,1600,337.594668
-34.642525,1600,338.608038
-27.864811,1600,339.324102
-36.678994,1600,340.415058
-20.655041,1600,341.469759
-34.922239,1600,342.520876
-44.889785,1600,343.552822
-36.702124,1600,344.291195
-40.064201,1600,345.370016
-26.678784,1600,346.44963
-18.541947,1600,347.475791
-36.841919,1600,348.223036
-31.958151,1600,349.321331
-46.066532,1600,350.370249
-20.846554,1600,351.436019
-26.797077,1600,352.477848
-41.438775,1600,353.194831
-40.109712,1600,354.255358
-42.088904,1600,355.314415
-19.128114,1600,356.320227
-37.639535,1600,357.011824
-37.814201,1600,358.065294
-17.72119,1600,359.122094
-33.801629,1600,360.146421
-42.180983,1600,361.135046
-36.604538,1600,361.842495
-18.787497,1600,362.871051
-23.975088,1600,363.905215
-35.534561,1600,364.918457
-23.739428,1600,365.577774
-36.511879,1600,366.603327
-35.290284,1600,367.711763
-40.335275,1600,368.729954
-36.117659,1600,369.714592
-41.223831,1600,370.398174
-37.672899,1600,371.454767
-36.601469,1600,372.467334
-40.553291,1600,373.474035
-33.133048,1600,374.441493
-18.429848,1600,375.147234
-30.030744,1600,376.165053
-24.914912,1600,377.171745
-34.359231,1600,378.177948
-27.035173,1600,378.861728
-33.455238,1600,379.881742
-38.13059,1600,380.89907
-34.777461,1600,381.916768
-34.889845,1600,382.900633
-33.753421,1600,383.649638
-34.938182,1600,384.69629
-34.812155,1600,385.731885
-35.001835,1600,386.716664
-34.376435,1600,387.392053
-26.558938,1600,388.443822
-29.549963,1600,389.468206
-23.132904,1600,390.579681
-23.482981,1600,391.552196
-30.277557,1600,392.254787
-18.737183,1600,393.282581
-20.1882,1600,394.276785
-28.561686,1600,395.248899
-28.455327,1600,395.909957
-26.92122,1600,396.939891
-17.743228,1600,397.958471
-27.14185,1600,398.932471
-29.714262,1600,399.980938
-30.395167,1600,400.650675
-28.14115,1600,401.655468
-33.498525,1600,402.638626
-24.229922,1600,403.625182
-16.795721,1600,404.573028
-24.931754,1600,405.274186
-25.20015,1600,406.276589
-29.460571,1600,407.259263
-17.026085,1600,408.221386
-17.354197,1600,408.879448
-19.534144,1600,409.860713
-19.346489,1600,410.852748
-30.519031,1600,411.812813
-21.845632,1600,412.772982
-21.420974,1600,413.45124
-18.702869,1600,414.46204
-23.780981,1600,415.448427
-25.583086,1600,416.446217
-20.563656,1600,417.112359
-27.5256,1600,418.121066
-13.465213,1600,419.107886
-27.1318,1600,420.076916
-14.964251,1600,421.017983
-24.553328,1600,421.70281
-27.155413,1600,422.705891
-17.239794,1600,423.673304
-25.306891,1600,424.636645
-30.164908,1600,425.283286
-24.096162,1600,426.274233
-22.231999,1600,427.279828
-23.976354,1600,428.241739
-19.265386,1600,429.180718
-54.215292,1600,429.803422
-28.234872,1600,430.821112
-57.277611,1600,431.801854
-9.464495,1600,432.789905
-6.734191,1600,433.739987
-51.644829,1600,434.366744
-5.968431,1600,435.377795
-63.037833,1600,436.336363
-71.056108,1600,437.236286
-17.059397,1600,437.894456
-22.415084,1600,438.897585
-27.373518,1600,439.891883
-21.508727,1600,440.854846
-37.067127,1600,441.802097
-18.507587,1600,442.479238
-45.358625,1600,443.469454
-25.654548,1600,444.456979
-25.911179,1600,445.388725
-16.905381,1600,446.039068
-66.897983,1600,446.991758
-61.424836,1600,448.014663
-11.577055,1600,449.017125
-17.212305,1600,449.961242
-21.527639,1600,450.631319
-8.986418,1600,451.655846
-33.75568,1600,452.619803
-29.614446,1600,453.584447
-24.027669,1600,454.240069
-12.724853,1600,455.243511
-13.439673,1600,456.233282
-25.517763,1600,457.213698
-26.632546,1600,458.181429
-67.557061,1600,458.816938
-22.583084,1600,459.876807
-12.129439,1600,460.940719
-21.386094,1600,461.97789
-25.189466,1600,462.956348
-27.367483,1600,463.703614
-23.03677,1600,464.775131
-37.658883,1600,465.772459
-23.636025,1600,466.763088
-28.417779,1600,467.452752
-31.915028,1600,468.484045
-26.700824,1600,469.521813
-27.409154,1600,470.56827
-71.66088,1600,471.507857
-18.268342,1600,472.215929
-28.204134,1600,473.237579
-25.591914,1600,474.244312
-26.031638,1600,475.305656
-12.993318,1600,476.177908
-24.979971,1600,477.778061
-25.959909,1600,479.035009
-13.735856,1600,480.396777
-25.553495,1600,483.040962
-15.398217,1600,484.087703
-26.755133,1600,486.260686
-47.035874,1600,488.941139
-22.604812,1600,490.817959
-27.40894,1600,491.812975
-41.494581,1600,493.693393
-28.228112,1600,495.208757
-33.376162,1600,496.579636
-52.180193,1600,497.775231
-26.784118,1600,498.560325
-24.802592,1600,499.739078
-12.300802,1600,500.912835
-31.267644,1600,502.081736
-29.509118,1600,503.234389
-22.983924,1600,504.054615
-22.693368,1600,505.236427
-27.441597,1600,506.402046
-25.49397,1600,507.554455
-29.214936,1600,508.368418
-40.422334,1600,509.648259
-27.054797,1600,510.939199
-38.605391,1600,512.253958
-31.912745,1600,513.525665
-18.288895,1600,514.349443
-37.064773,1600,515.523575
-24.805381,1600,516.698157
-27.524251,1600,517.923068
-37.695301,1600,518.782545
-28.848987,1600,520.41582
-33.006576,1600,522.276022
-124.293822,107,522.335528
-28.834045,1600,523.723855
-36.115769,1600,525.044376
-103.487693,84,525.096034
-105.173681,83,525.15002
-103.970812,83,525.195878
-104.069754,87,525.245259
-103.748396,84,525.292349
-104.110084,80,525.337324
-101.432887,82,525.384728
-101.752816,87,525.43364
-102.251213,87,525.483323
-104.82112,82,525.528789
-105.123296,84,525.575266
-101.012398,89,525.625032
-104.04239,86,525.672764
-98.329982,91,525.723858
-102.620026,99,525.778637
-101.391224,85,525.827808
-103.208828,90,525.877797
-101.169229,89,525.927483
-101.370014,101,525.98351
-102.543799,88,526.032696
-103.542423,85,526.534859
-105.024692,83,526.582275
-103.962467,83,526.63007
-102.903467,88,526.680153
-103.716785,89,526.730111
-104.817724,82,526.775622
-103.602895,91,526.827068
-104.157904,84,526.874114
-102.063122,99,526.929813
-103.966637,80,526.974951
-102.449592,87,527.025588
-101.114091,87,527.075476
-103.262825,87,527.126722
-102.118052,93,527.179982
-103.766368,89,527.230961
-103.386067,91,527.282725
-103.756234,86,527.331626
-103.339008,96,527.385977
-103.772714,97,527.443257
-103.522254,88,527.493919
-101.338063,97,527.548886
-104.984915,81,527.59458
-105.946624,82,527.640808
-103.673161,84,528.243699
-103.868297,84,528.314312
-104.111811,87,528.385903
-104.854057,83,528.454154
-104.28251,95,528.531513
-104.693151,94,528.608311
-104.43322,100,528.688848
-104.221855,86,528.759076
-104.247911,89,528.830948
-106.104135,109,528.916491
-105.3837,82,528.980927
-104.489607,79,529.032934
-105.183365,84,529.088
-104.372599,98,529.152559
-104.506065,91,529.211871
-104.079474,86,529.269323
-104.212273,89,529.32115
-105.558099,84,529.374638
-104.50327,92,529.434152
-103.604952,80,529.492192
-104.716561,84,529.550601
-104.384372,83,529.600744
-103.450575,98,529.656087
-102.932854,97,530.353295
-105.709025,83,530.424221
-103.333535,82,530.495189
-103.866404,84,530.564844
-103.983756,85,530.633768
-103.684703,84,530.702227
-104.08672,91,530.769083
-103.963427,86,530.825444
-104.859537,89,530.879767
-105.069514,83,530.926158
-103.751403,84,530.974439
-104.040292,83,531.022543
-102.950556,87,531.071124
-103.690577,85,531.119825
-103.940805,94,531.172564
-103.385023,88,531.222053
-103.184394,90,531.273209
-103.65057,85,531.321838
-103.970551,86,531.370432
-105.256556,80,531.415172
-104.471797,83,531.461915
-103.632602,90,531.512066
-102.667722,88,531.561886
-103.554448,94,531.614714
-105.846805,83,532.112468
-26.237745,1600,533.009881
-11.633453,1600,534.375062
-24.204853,1600,535.71208
-25.014944,1600,537.007306
-21.004286,1600,537.829787
-34.384042,1600,539.133979
-19.225914,1600,540.416809
-19.690941,1600,541.662399
-21.201664,1600,542.928206
-19.90443,1600,543.853372
-40.467108,1600,545.190137
-22.56218,1600,546.412747
-14.600989,1600,547.59597
-20.381017,1600,548.390977
-12.284926,1600,549.758295
-26.280934,1600,551.01131
-18.395462,1600,552.13458
-9.882018,1600,553.227
-62.756308,1600,553.942892
-8.789561,1600,555.069973
-47.859165,1600,556.20539
-10.183999,1600,557.410128
-12.646829,1600,558.145188
-16.007004,1600,559.333126
-8.16429,1600,560.709331
-9.576226,1600,562.145577
-21.313464,1600,563.514591
-15.642877,1600,564.363442
-14.419137,1600,565.580087
-19.190533,1600,566.779922
-12.567762,1600,567.938294
-14.603308,1600,569.063858
-10.332175,1600,569.840988
-11.243327,1600,570.996988
-14.409471,1600,572.120739
-11.221085,1600,573.198788
-21.434269,1600,573.959584
-12.081268,1600,575.11929
-24.528765,1600,576.393161
-27.362749,1600,577.528967
-29.138432,1600,578.641236
-17.149282,1600,579.447921
-16.46546,1600,580.619932
-15.7884,1600,581.798365
-18.722828,1600,582.909883
-15.389688,1600,583.661805
-17.428844,1600,584.881814
-19.659983,1600,586.054893
-20.284267,1600,587.177546
-19.281104,1600,588.287843
-18.43759,1600,589.07529
-18.621775,1600,590.270296
-16.899983,1600,591.377484
-17.841668,1600,592.488891
-17.334483,1600,593.176965
-16.067855,1600,594.256334
-16.792183,1600,595.289714
-16.9582,1600,596.297268
-17.052646,1600,597.274555
-27.205664,1600,597.93888
-15.060391,1600,598.94191
-27.606482,1600,599.966657
-17.811053,1600,601.001813
-14.984838,1600,602.000774
-16.418131,1600,602.738119
-15.678575,1600,603.814761
-14.643813,1600,604.846721
-14.880441,1600,605.831763
-12.339184,1600,606.488946
-11.568912,1600,607.566259
-13.650056,1600,608.633952
-13.420577,1600,609.625743
-11.914156,1600,610.558311
-17.054473,1600,611.216476
-12.004649,1600,612.200253
-39.210791,1600,613.155465
-14.064963,1600,614.114687
-14.101364,1600,614.751117
-12.878166,1600,615.724425
-20.400868,1600,616.78565
-22.087448,1600,617.726719
-23.969575,1600,618.66601
-34.274456,1600,619.324336
-33.27008,1600,620.309599
-19.568597,1600,621.289704
-18.841751,1600,622.248767
-14.029761,1600,622.886411
-19.018165,1600,623.911545
-21.310636,1600,624.898704
-13.838854,1600,625.868416
-104.674615,196,625.947638
-21.912414,1600,626.892842
-104.69743,170,626.970975
-104.564743,105,627.016039
-106.059262,97,627.058281
-105.921049,98,627.097635
-29.368411,1600,628.038331
-105.699633,96,628.083449
-104.025061,155,628.148983
-23.304897,1600,629.07625
-24.328553,1600,629.722759
-21.9861,1600,630.71018
-13.128211,1600,631.685115
-14.146902,1600,632.62917
-13.355387,1600,633.572346
-11.905143,1600,634.235861
-12.59364,1600,635.190004
-11.065978,1600,636.141986
-14.265237,1600,637.070894
-9.283144,1600,637.704014
-11.349912,1600,638.672584
-8.722497,1600,639.743669
-10.676214,1600,640.697161
-17.747291,1600,641.630108
-20.080508,1600,642.28202
-15.344751,1600,643.239709
-11.256365,1600,644.198895
-9.561337,1600,645.164907
-10.662866,1600,645.789312
-9.054882,1600,646.766362
-11.017714,1600,647.76294
-15.666097,1600,648.702481
-17.757236,1600,649.625567
-13.026968,1600,650.2909
-11.341643,1600,651.282448
-11.893765,1600,652.309944
-18.308096,1600,653.358603
-15.148023,1600,653.991281
-15.227994,1600,654.960329
-18.639138,1600,656.032806
-13.791924,1600,657.014239
-24.843383,1600,657.932026
-12.975118,1600,658.599839
-14.659959,1600,659.596442
-17.775334,1600,660.585205
-13.087635,1600,661.544847
-33.075813,1600,662.482736
-18.583731,1600,663.162475
-18.155821,1600,664.150355
-13.57174,1600,665.121364
-11.70248,1600,666.042549
-11.730924,1600,666.684095
-14.907583,1600,667.661088
-12.881024,1600,668.667356
-13.937437,1600,669.632779
-14.419888,1600,670.554786
-14.073547,1600,671.276983
-13.945011,1600,672.339188
-10.127256,1600,673.292678
-11.108746,1600,674.24119
-14.129454,1600,674.884532
-12.070715,1600,675.871451
-12.606054,1600,676.85401
-13.297062,1600,677.816875
-10.809038,1600,678.74299
-10.287935,1600,679.39743
-11.783129,1600,680.394535
-12.766099,1600,681.394504
-13.007737,1600,682.341764
-14.956191,1600,683.023358
-8.995874,1600,684.008681
-8.728542,1600,684.995301
-55.989353,1600,685.936716
-10.424148,1600,686.890457
-12.801822,1600,687.613085
-9.15669,1600,688.61808
-9.745158,1600,689.591171
-16.028197,1600,690.566596
-6.99978,1600,691.535986
-14.787756,1600,692.252261
-11.647075,1600,693.264416
-8.149679,1600,694.249398
-8.436146,1600,695.214949
-12.272926,1600,695.863646
