#{"t_start": 1727523609.460139, "env_id": "BipedalWalker-v3"}
r,l,t
-95.764763,202,92.319621
-95.956282,198,92.450667
-93.729759,336,92.668269
-149.179776,777,93.174478
-93.922359,182,93.293673
-87.13635,1600,94.348194
-175.296835,1141,95.111821
-92.907063,171,95.231123
-146.352574,759,95.7438
-102.084599,425,96.037866
-113.055729,66,96.086327
-114.330727,1600,97.184858
-143.430217,747,97.703251
-99.967726,283,97.907245
-102.649197,306,98.128373
-95.620464,205,98.276569
-112.760342,410,98.569956
-102.794882,278,98.769195
-114.891651,382,99.043981
-66.430299,1600,100.192186
-79.767644,1600,101.363311
-104.714927,304,101.587945
-107.930945,64,101.635053
-99.888925,641,102.166967
-118.711117,1600,103.491642
-106.080871,49,103.532003
-108.61841,62,103.584464
-92.438186,1600,104.939
-132.039577,1269,106.018244
-97.078004,235,106.22208
-106.336512,253,106.438112
-120.920862,48,106.480372
-104.744407,70,106.54152
-126.058564,511,106.974086
-102.919675,297,107.232521
-107.862868,33,107.263397
-67.904303,1600,108.828588
-147.168703,843,109.75673
-83.312655,1600,111.605828
-103.17117,55,111.673855
-116.380767,553,112.345887
-154.211538,1079,113.634565
-127.520533,426,114.148691
-161.961202,954,115.365777
-107.671421,1600,117.35322
-109.392925,84,117.477675
-100.174948,255,117.802159
-100.837855,715,118.95961
-98.988434,255,119.32224
-133.998795,1154,120.731124
