#{"t_start": 1727524353.952538, "env_id": "BipedalWalker-v3"}
r,l,t
-92.026457,213,236.972693
-37.368965,1600,238.139528
-90.911889,173,238.236327
-95.98926,281,238.391859
-72.036125,1600,239.548375
-37.86206,1600,240.32969
-90.827701,195,240.413244
-95.202433,247,240.906138
-36.723031,1600,241.773421
-92.5725,194,241.863143
-31.569535,1600,243.063622
-68.959871,1600,244.22075
-91.357576,207,244.319413
-76.195814,1600,245.469733
-81.775499,1600,246.58958
-42.394492,1600,247.346457
-40.126861,1600,248.502577
-43.800086,1600,249.641805
-90.607039,185,249.726973
-90.168974,188,249.807225
-89.493922,166,249.878331
-94.4777,245,249.979349
-79.210899,1600,251.104546
-93.359213,220,251.198277
-38.372545,1600,252.326582
-36.884081,1600,253.440258
-131.640821,1093,253.961794
-41.360598,1600,255.226687
-102.233241,355,255.417741
-48.53303,1600,256.701358
-35.960686,1600,257.917715
-98.712158,329,258.080818
-29.027321,1600,259.19329
-73.976652,1600,260.256261
-36.516209,1600,261.009554
-36.918184,1600,262.117808
-56.744198,1600,263.215163
-90.918586,228,263.316556
-91.614357,193,263.398191
-101.112167,378,263.549258
-92.408803,228,263.637947
-89.795137,187,264.080313
-52.204907,1600,264.812065
-107.744268,691,265.481484
-93.999401,91,265.532162
-70.203019,1600,266.20862
-88.603457,133,266.627215
-75.657111,1600,267.338318
-93.697811,102,267.378302
-80.251954,1600,268.452071
-74.730609,1600,269.510591
-94.197212,298,269.643381
-53.120237,1600,270.786276
-96.208599,158,270.860807
-91.353729,136,270.921635
-94.36277,298,271.048058
-75.323932,1600,272.118973
-91.035122,156,272.184608
-66.091006,1600,273.241476
-52.562829,1600,274.245878
-95.676713,312,274.415244
-50.419494,1600,275.422068
-63.521217,1600,276.143578
-41.503215,1600,277.21259
-93.729045,116,277.260115
-88.644086,124,277.308157
-89.528645,117,277.353724
-74.638326,1600,278.400299
-90.865439,129,278.454461
-88.655688,119,278.50226
-66.608772,1600,279.531898
-96.214501,201,279.615582
-90.148869,118,279.665819
-92.004394,165,279.730486
-86.097837,131,279.781414
-102.6735,328,279.906528
-32.461304,1600,280.95648
-92.028838,232,281.047356
-51.078589,1600,282.086814
-98.909894,353,282.227514
-90.152385,187,282.302928
-37.386434,1600,283.336987
-34.121974,1600,284.357504
-70.885907,1600,285.351123
-76.647827,1600,286.055005
-89.186835,193,286.546472
-40.007448,1600,287.281904
-74.403722,1600,288.335643
-44.688665,1600,289.369322
-94.939521,247,289.475596
-93.138832,237,289.575078
-31.80851,1600,290.596605
-28.870704,1600,291.606728
-37.666369,1600,292.271065
-77.622118,1600,293.308805
-34.960994,1600,294.38113
-48.853547,1600,295.383679
-79.879523,1600,296.394441
-75.226433,1600,297.08021
-48.995161,1600,298.109424
-119.416502,944,298.826906
-75.302125,1600,299.496465
-76.325787,1600,300.517504
-97.721892,158,300.579006
-38.571941,1600,301.655362
-39.150781,1600,302.793659
-96.203732,1600,303.783736
-78.870889,1600,304.447613
-76.204282,1600,305.473707
-95.740536,308,305.594099
-93.740727,271,305.695288
-27.806502,1600,306.723681
-92.052302,97,306.761733
-43.302853,1600,307.797473
-94.00405,262,307.902684
-94.16015,255,308.001863
-68.358717,1600,309.005345
-67.227755,1600,310.004292
-34.317722,1600,311.016485
-33.684038,1600,311.700485
-103.239848,232,312.128929
-32.430691,1600,312.836838
-32.860173,1600,313.898242
-91.15579,235,313.991222
-43.444228,1600,315.027551
-52.551861,1600,316.094341
-35.641297,1600,317.095455
-96.163905,254,317.228548
-94.414841,232,317.346283
-93.579525,268,317.467321
-52.303805,1600,318.620854
-41.240338,1600,319.283182
-38.408883,1600,320.366778
-94.313775,162,320.430159
-41.644475,1600,321.534688
-29.557375,1600,322.65776
-98.312506,346,322.807265
-90.432929,205,322.894331
-101.234989,494,323.082704
-31.926055,1600,324.226083
-91.519764,215,324.311798
-90.988415,186,324.384883
-93.923618,264,324.863688
-49.055396,1600,325.579573
-91.54409,202,325.659837
-31.501549,1600,326.751711
-53.821941,1600,327.791494
-95.575978,263,327.899111
-113.739004,776,328.192153
-30.495655,1600,329.274609
-32.998156,1600,330.338419
-39.359356,1600,331.335225
-73.166916,1600,332.323088
-100.20424,407,332.524866
-89.320505,127,332.58498
-44.285412,1600,333.560363
-30.600823,1600,334.359024
-96.219879,304,334.889759
-100.082999,406,335.112607
-46.997227,1600,336.13765
-75.919502,1600,336.878145
-47.047737,1600,337.984201
-29.514957,1600,339.044673
-101.046306,472,339.241815
-71.410977,1600,340.268242
-71.139129,1600,341.301426
-36.221575,1600,341.978386
-103.791894,548,342.610034
-72.330809,1600,343.617724
-28.876543,1600,344.357571
-36.590024,1600,345.443676
